SpeechID,Speech,Speaker,Location,Year
56,You want to impose a 10 percent tariff on all goods coming into the U.S. How will you ensure that that doesn't drive prices even higher?,Moderator,Atlanta,2024
57,It's not going to drive them higher.,Trump,Atlanta,2024
58,"It's just going to cause countries that have been ripping us off for years, like China – and many others, in all fairness to China – it's going to just",Trump,Atlanta,2024
59,"force them to pay us a lot of money, reduce our deficit tremendously, and give us a lot of power for other things. But he – he made a statement.",Trump,Atlanta,2024
60,The only thing he was right about is I gave you the largest tax cut in history. I also gave you the largest regulation cut in history. And that's why we had all the jobs.,Trump,Atlanta,2024
61,And the jobs went down and then they bounced back and he's taking credit for bounce-back jobs. You can't do that. He also said he inherited 9 percent inflation.,Trump,Atlanta,2024
62,"No, he inherited almost no inflation, and it stayed that way for 14 months.",Trump,Atlanta,2024
63,And then it blew up under his leadership because they spent money like a bunch of people that didn't know what they were doing. And they don't know what they were doing.,Trump,Atlanta,2024
64,It was the worst – probably the worst administration in history. There's never been.,Trump,Atlanta,2024
65,"And as far as Afghanistan is concerned, I was getting out of Afghanistan, but we were getting out with dignity, with strength, with power.",Trump,Atlanta,2024
66,"He got out, it was the most embarrassing day in the history of our country's life.",Trump,Atlanta,2024
67,"President Trump, over the last eight years, under both of your administrations, the national debt soared to record highs.",Moderator,Atlanta,2024
68,"And according to a new non-partisan analysis, President Trump, your administration approved $8.4 trillion in new debt. While so far, President Biden, you've approved $4.3 trillion in new debt.",Moderator,Atlanta,2024
69,"So former President Trump, many of the tax cuts that you signed into law are set to expire next year. You want to extend them and go even further, you say.",Moderator,Atlanta,2024
70,"With the U.S. facing trillion-dollar deficits and record debt, why should top earners and corporations pay even less in taxes than they do now?",Moderator,Atlanta,2024
71,"Because the tax cuts spurred the greatest economy that we've ever seen just prior to COVID, and even after COVID.",Trump,Atlanta,2024
72,It was so strong that we were able to get through COVID much better than just about any other country. But we spurred – that tax spurred.,Trump,Atlanta,2024
73,"Now, when we cut the taxes, as example, the corporate tax was cut down to 21 percent from 39 percent, plus beyond that, we took in more revenue with much",Trump,Atlanta,2024
74,less tax and companies were bringing back trillions of dollars back into our country. The country was going like never before. And we were ready to start paying down debt.,Trump,Atlanta,2024
75,"We were ready to start using the liquid gold right under our feet, the oil and gas right under our feet. We were going to have something that nobody else has had.",Trump,Atlanta,2024
76,We got hit with COVID. We did a lot to fix it.,Trump,Atlanta,2024
77,"I gave him an unbelievable situation with all of the therapeutics and all of the things that we came up with, we – we gave him something great.",Trump,Atlanta,2024
78,"Remember, more people died under his administration, even though we had largely fixed it. More people died under his administration than our administration, and we were right in the middle of it.",Trump,Atlanta,2024
79,"Something which a lot of people don't like to talk about, but he had far more people dying in his administration. He did the mandate, which is a disaster, mandating it. The vaccine went out.",Trump,Atlanta,2024
80,"He did a mandate on the vaccine, which is the thing that people most objected to about the vaccine. And he did a very poor job, just a very poor job.",Trump,Atlanta,2024
81,"And I will tell you, not only poor there, but throughout the entire world, we're no longer respected as a country. They don't respect our leadership. They don't respect the United States anymore.",Trump,Atlanta,2024
82,"We're like a Third World nation between weaponization of his election, trying to go after his political opponent. All of the things he's done. We've become like a Third World nation, and it's a shame.",Trump,Atlanta,2024
83,"The damage he's done to our country – and I'd love to ask him, and will, why he allowed millions of people to come in here from prisons, jails, and",Trump,Atlanta,2024
84,mental institutions to come into our country and destroy our country.,Trump,Atlanta,2024
85,"President Trump, we will get to immigration later in this block. President Biden, I want to give you an opportunity to respond to this question about the national debt.",Moderator,Atlanta,2024
86,"He had the largest national debt of any president in a four-your period, number one. Number two, he – that $2 trillion tax cut benefited the very wealthy.",Biden,Atlanta,2024
87,"I – what I'm going to do is fix the tax system. For example, we have a thousand trillionaires in America – I mean, billionaires in America. And what's happening?",Biden,Atlanta,2024
88,"They're in a situation where they, in fact, pay 8.2 percent in taxes.",Biden,Atlanta,2024
89,"If they just paid 24 percent or 25 percent, either one of those numbers, they'd raised $500 million – billion dollars, I should say, in a 10-year period.",Biden,Atlanta,2024
90,We'd be able to right wipe out his debt.,Biden,Atlanta,2024
91,"We'd be able to help make sure that all those things we need to do – childcare, elder care, making sure that we continue to strengthen our healthcare system, making",Biden,Atlanta,2024
92,sure that we're able to make every single solitary person eligible for what I've been able to do with the – with – with – with the COVID.,Biden,Atlanta,2024
93,"Excuse me, with dealing with everything we have to do with – look, if – we finally beat Medicare.",Biden,Atlanta,2024
94,"Thank you, President Biden. President Trump?",Moderator,Atlanta,2024
95,"Well, he's right. He did beat Medicare. He beat it to death. And he's destroying Medicare because all of these people are coming in, they're putting them on Medicare. They're putting them on Social Security.",Trump,Atlanta,2024
96,"They're going to destroy Social Security. This man is going to single-handedly destroy Social Security. These millions and millions of people coming in, they're trying to put them on Social Security.",Trump,Atlanta,2024
97,He will wipe out Social Security. He will wipe out Medicare. So he was right in the way he finished that sentence. And it's a shame.,Trump,Atlanta,2024
98,"What's happened to our country in the last four years is not to be believed. Foreign countries, I'm friends with a lot of people. They cannot believe what happened to the United States of America.",Trump,Atlanta,2024
99,"We're no longer respected. They don't like us. We give them everything they want, and they think we're stupid. They think we're very stupid people.",Trump,Atlanta,2024
100,"What we're doing for other countries, and they do nothing for us. What this man has done is absolutely criminal.",Trump,Atlanta,2024
101,"Thank you, President Trump. Dana?",Moderator,Atlanta,2024
102,This is the first presidential election since the Supreme Court overturned Roe v. Wade.,Moderator,Atlanta,2024
103,"This morning, the court ruled on yet another abortion case, temporarily allowing emergency abortions to continue in Idaho, despite that state's restrictive ban.",Moderator,Atlanta,2024
104,"Former President Trump, you take credit for the decision to overturn Roe v. Wade, which returned the issue of abortion to the states.",Moderator,Atlanta,2024
105,Correct.,Trump,Atlanta,2024
106,"However, the federal government still plays a role in whether or not women have access to abortion pills. They're used in about two-thirds of all abortions. As president, would you block abortion medication?",Moderator,Atlanta,2024
107,"First of all, the Supreme Court just approved the abortion pill. And I agree with their decision to have done that, and I will not block it.",Trump,Atlanta,2024
108,"And if you look at this whole question that you're asking, a complex, but not really complex. Fifty-one years ago, you had Roe v.",Trump,Atlanta,2024
109,"Wade, and everybody wanted to get it back to the states, everybody, without exception, Democrats, Republicans, liberals, conservatives. Everybody wanted it back. Religious leaders.",Trump,Atlanta,2024
110,"And what I did is I put three great Supreme Court justices on the court, and they happened to vote in favor of killing Roe v. Wade and moving it back to the states.",Trump,Atlanta,2024
111,This is something that everybody wanted.,Trump,Atlanta,2024
112,"Now, 10 years ago or so, they started talking about how many weeks and how many of this are getting into other things, but every legal scholar, throughout the world,",Trump,Atlanta,2024
113,"the most respected, wanted it brought back to the states. I did that. Now the states are working it out.",Trump,Atlanta,2024
114,"If you look at Ohio, it was a decision that was – it was – it was an end result that was a little bit more liberal than you would have thought.",Trump,Atlanta,2024
115,"Kansas, I would say the same thing. Texas is different. Florida is different. But they're all making their own decisions right now. And right now, the states control it. That's the vote of the people.",Trump,Atlanta,2024
116,"Like Ronald Reagan, I believe in the exceptions, I am a person that believes. And frankly, I think it's important to believe in the exceptions.",Trump,Atlanta,2024
117,"Some people, you have to follow your heart, some people don't believe in that. But I believe in the exceptions for rape, incest, and the life of the mother. I think it's very important.",Trump,Atlanta,2024
118,Some people don't. Follow your heart. But you have to get elected also and – because that has to do with other things. You've got to get elected.,Trump,Atlanta,2024
119,"The problem they have is they're radical because they will take the life of a child in the eighth month, the ninth month, and even after birth – after birth.",Trump,Atlanta,2024
120,"If you look at the former governor of Virginia, he was willing to do this. He said, we'll put the baby aside and we'll determine what we do with the baby.",Trump,Atlanta,2024
121,"Meaning, we'll kill the baby. What happened is we brought it back to the states and the country is now coming together on this issue. It's been a great thing.",Trump,Atlanta,2024
122,Thank you. President Biden?,Moderator,Atlanta,2024
123,"It's been a terrible thing, what you've done. The fact is that the vast majority of constitutional scholars supported Roe when it was decided, supported Roe.",Biden,Atlanta,2024
124,And that was – that's – this idea that they were all against it is just ridiculous. And this is the guy who says the states should be able to have it.,Biden,Atlanta,2024
125,"We're (ph) in a state where in six weeks, you don't even know whether you're pregnant or not, but you cannot see the doctor or have your – and have",Biden,Atlanta,2024
126,"him decide on what your circumstances are, whether you need help. The idea that states are able to do this is a little like saying, we're going to turn civil rights back to the states.",Biden,Atlanta,2024
127,"Let each state have a different rule. Look, there's so many young women who have been – including a young woman who just was murdered and he – he went to the funeral.",Biden,Atlanta,2024
128,"The idea that she was murdered by a – by –by an immigrant coming in, and they talk about that.",Biden,Atlanta,2024
129,"But here's the deal, there's a lot of young women who are being raped by their – by their in-laws, by their – by their spouses, brothers and sisters, by",Biden,Atlanta,2024
130,– just – it's just – it's just ridiculous. And they can do nothing about it. And they tried to arrest them when they cross state lines.,Biden,Atlanta,2024
131,Thank you.,Moderator,Atlanta,2024
132,There have been many young women murdered by the same people he allows to come across our border.,Trump,Atlanta,2024
133,We have a border that's the most dangerous place anywhere in the world – considered the most dangerous place anywhere in the world.,Trump,Atlanta,2024
134,"And he opened it up, and these killers are coming into our country. And they are raping and killing women, and it's a terrible thing.",Trump,Atlanta,2024
135,"As far as the abortion is concerned, it is now back with the states. The states are voting. In many cases, they – it's frankly a very liberal decision. In many cases, it's the opposite.",Trump,Atlanta,2024
136,"But they're voting. And it's bringing it back to the vote of the people, which is what everybody wanted, including the founders, if they knew about this issue, which frankly they didn't.",Trump,Atlanta,2024
137,But they would have – everybody want it brought back. Ronald Reagan wanted it brought back. He wasn't able to get it.,Trump,Atlanta,2024
138,"Everybody wanted it brought back and many presidents had tried to get it back. I was the one to do it. And again, this gives it the vote of the people.",Trump,Atlanta,2024
139,And that's where they wanted it. Every legal scholar wanted it that way.,Trump,Atlanta,2024
140,"Staying on the topic of abortion, President Biden. Seven states –",Moderator,Atlanta,2024
141,I'll let you do that. This is the same topic. Seven states have no legal restrictions on how far into a pregnancy a woman can obtain an abortion.,Moderator,Atlanta,2024
142,Do you support any legal limits on how late a woman should be able to terminate a pregnancy?,Moderator,Atlanta,2024
143,"I supported Roe v. Wade, which had three trimesters. First time is between a woman and a doctor. Second time is between the doctor and an extreme situation.",Biden,Atlanta,2024
144,"And a third time is between the doctor – I mean, it'd be between the woman and the state.",Biden,Atlanta,2024
145,The idea that the politicians – that the founders wanted the politicians to be the ones making decisions about women's health is ridiculous. That's the last – no politician should be making that decision.,Biden,Atlanta,2024
